axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2TwoSub_2,0.7511123569,0.0003466261248,0.7513044086,0.0003426126656,0.9997443757,0.0006486214066
beam,10_15,hV2TwoSub_2,0.7398023148,0.0002569852439,0.7416520086,0.000133340706,0.9975059816,0.0003901638874
beam,15_20,hV2TwoSub_2,0.6855730895,0.0002066253805,0.6876877992,0.0003426158757,0.9969248985,0.0005804927168
beam,20_25,hV2TwoSub_2,0.5962128178,0.0003921122627,0.5991923621,0.0003682543378,0.9950273993,0.0008956606887
beam,25_30,hV2TwoSub_2,0.4935145139,0.0007908337183,0.4964321025,0.001186343242,0.994122885,0.002860364387
beam,30_35,hV2TwoSub_2,0.3903704507,0.003020115674,0.3991036694,0.003398488056,0.9781179194,0.01125321895
beam,35_40,hV2TwoSub_2,0.3274737553,0.008509936003,0.3053382795,0.01146878862,1.072494925,0.04898528967
beam,40_999,hV2TwoSub_2,0.326176793,0.04223747463,0.2962354144,0.02935395208,1.101072921,0.1795361655
beam,0_10,hV2TwoSub_4,0.7168771677,0.0006081269312,0.717190641,0.0005405626861,0.9995629149,0.001134277329
beam,10_15,hV2TwoSub_4,0.7051940306,0.0003200348964,0.7076912751,0.0001833284207,0.9964712797,0.0005207123
beam,15_20,hV2TwoSub_4,0.6253129094,0.000245235504,0.6279770205,0.0005453871462,0.9957576295,0.0009488831586
beam,20_25,hV2TwoSub_4,0.4701099689,0.001101460207,0.4744124141,0.001191315265,0.9909310022,0.003403294954
beam,25_30,hV2TwoSub_4,0,0,0,0,0,0
beam,30_35,hV2TwoSub_4,0,0,0,0,0,0
beam,35_40,hV2TwoSub_4,0,0,0,0,0,0
beam,40_999,hV2TwoSub_4,0.4170921933,0.09119678174,0,0,0,0
beam,0_10,hV2TwoSub_6,0.7127287328,0.0007095151028,0.7133226935,0.0005536734975,0.9991673325,0.00126127709
beam,10_15,hV2TwoSub_6,0.7009977313,0.0003374947604,0.7036558153,0.0001973619721,0.9962224657,0.0005550870603
beam,15_20,hV2TwoSub_6,0.6151713674,0.0002651400946,0.6180218819,0.0006046616313,0.9953876803,0.00106417815
beam,20_25,hV2TwoSub_6,0.4161073913,0.002991056589,0.4239580158,0.002806807507,0.9814825426,0.009591490562
beam,25_30,hV2TwoSub_6,0,0,0,0,0,0
beam,30_35,hV2TwoSub_6,0,0,0,0,0,0
beam,35_40,hV2TwoSub_6,0,0,0.2991785772,0.09035047161,0,0
beam,40_999,hV2TwoSub_6,0.4460586085,0.07655978548,0,0,0,0
beam,0_10,hV2TwoSub_8,0.7118218639,0.000725696124,0.712512961,0.0005804886971,0.9990300568,0.001303766156
beam,10_15,hV2TwoSub_8,0.7001619594,0.0003425538253,0.7028649036,0.0002013379059,0.9961543902,0.0005647592966
beam,15_20,hV2TwoSub_8,0.6126132179,0.0002711363195,0.6155515764,0.0006272327465,0.9952264625,0.001105642086
beam,20_25,hV2TwoSub_8,0.3340860056,0.02136403394,0.3660648409,0.01077680286,0.9126416098,0.06424892778
beam,25_30,hV2TwoSub_8,0,0,0,0,0,0
beam,30_35,hV2TwoSub_8,0.332872025,0.02457418161,0.3226850325,0.02796042386,1.031569461,0.1174277023
beam,35_40,hV2TwoSub_8,0,0,0,0,0,0
beam,40_999,hV2TwoSub_8,0.4334165901,0.04510000078,0,0,0,0
